PromptTitle,Prompt
Prepare for Monday,"List my meetings, tasks and activities on my calendar that I am participating in on this coming Monday in a table. In a second column, recommend any specific actions I should take to prepare for those meetings and activities; dig into the meeting details, and where the meeting includes attached documents or links, list their names and provide their links in a third column."
Kickstart the week,"You are my AI assistant, optimized for my daily routine. Please assist me in starting my day effectively. List action items in a dedicated table. Please have the columns in the following order. Topic, Follow ups and action items."
Create random data (Excel),"I'd like you to create a spreadsheet with [100 rows] of synthetic data, containing the columns [date], [time] and [outcome]. Here are the rules for the values: [date: any date between 1st Sept 2024 and 9th Sept 2024] [time: any time of day to the nearest second] [outcome: true or false]"
Analyze emails from my leaders,"I'd like for you to act as my executive assistant. Can you analyze my inbox and find any emails from my manager, or their manager, that require my response or contain any action items."
List technical interviews,"List all the candidates for which I took the interview in a tabular format with date of interview, candidate name and position. kindly refer to the last 6 months emails from Outlook to get the candidate's name."
Locate my meeting mentions,Find conversations where my name was mentioned yesterday where I have not since replied.
Clean up email list,"Convert this list so I can easily paste it into a new Outlook message [paste in your table of names and email addresses]"
Analyse my Excel,"Generate prompts to best analyze the table data from [Excel file] and [Excel file]"
Meeting minutes,"What was this meeting about? What are the goals and topics from the meeting? Format each section with a bolded heading, a bulleted list, and bolded names. What were the key points discussed? Summarize the key discussion points and any action items. Recap and categorize all tips that were considered. Format into a table."
Interview prep,"Looking at this job description [file], generate 10 real-world scenarios to be used in a role-play interview for the job. Target 100 words for each scenario, which contains fake names, [for healthcare role... ailments, medications, and attempted treatments]."
Start the Day,"Help me start my day: Act as if you are my personal admin. I'd like for you to create a list showing anywhere I was mentioned but have not yet responded organized by email, Teams chat, and Teams channels in the last 24 hours including a short summary of each. Next, using that information generate a list that prioritizes my top 3 action items for today."
Wrap Up the Day,"Help me wrap up my day: Act as if you are my personal admin. I'd like for you to create a list showing anywhere I was mentioned but have not yet responded organized by email, Teams chat, and Temas channels in the last 10 hours including a short summary of each. Next, using that information generate a list that prioritizes my top 3 action items for today."
Explain,Summarize the article in a Non Academic and Non Technical Style.
80/20 rule,"Given the topic of (subject), identify and share the most important 20% of learnings that will help me understand 80% of it. I will use this information to understand the essential information of this topic and will enable me to use this information for my personal knowledge and/or in my professional life."
OneNote structure,"Please add structure to these notes, make all names bold and add a table of actions at the end."
Rewrite,Rewrite this for clarity and brevity.
Redact,"Redact this document, replacing names with their role or title and removing all dates. Replace pronouns with 'them/they/their'."
List to Table for Dyslexia,Put this in a table for me.
Conflict coach,"Act like a conflict resolution coach with expertise in workplace dynamics. Your goal is to help me navigate a recent disagreement or tension within my team. I will provide the key details, and you'll analyze the situation and offer tailored strategies for resolving the issue constructively. Focus on finding common ground, facilitating healthy discussions, and resolving the conflict in a way that strengthens team relationships and keeps everyone aligned with our goals. Objective: Offer actionable advice on how to resolve team conflicts quickly and effectively while maintaining collaboration and trust. The nature of the conflict: [e.g., differing opinions, misaligned priorities], Key people [use / to mention them], Any relevant context [e.g., project deadlines, team dynamics], Desired Outcomes: [e.g., improved communication, alignment on goals, stronger collaboration]."
Prompt engineer,"Hi Copilot, I'd like you to act as my Prompt engineer. Your goal is to help me craft the best possible prompt for my needs. The purpose of the prompt is that I will use it with you, Copilot. You must follow the following process during this chat session: 1. Your first response will be to ask me what the prompt should be about. I will provide my answer, but we will need to improve it through continual iterations by going through steps two and three. 2. Based on my input, you will generate two sections. - Revised prompt (Always provide your revised prompt. It should be clear, concise, and easily understood by you) - Questions (Ask any relevant questions pertaining to what additional information is needed from me for you to improve the prompt). 3. We will continue this iterative process with me providing additional information to you and you continuously updating the prompt in the Revised prompt section so I can use it."
Rewrite for patient letter, "Rewrite all of these clinician notes in [file] into terms understood at a 9-year-old reading level, replacing any medical jargon. The numbers starting most of the paragraphs (for example, 16/6) are dates. Wherever a term or concept in the notes matches a topic in [file] append the corresponding reference text in the document to a 'References' section of the new document."
